id,severity,status,category,loophole,evidence,source_anchors,buyer_impact,remediation,proof_to_close,owner_action_required,repo_action_available,claim_boundary
owner_approval_register_not_cleared,P0,open_owner_evidence_required,approval_governance,"Downstream prediction, buyer, enterprise, hosted, payment, AI-action, and claim-language evidence cannot be upgraded until the owner approval register is reviewed and approved.",owner_approval_register_ready_no_owner_approvals; approved=0/14; reviewed=0/14; claim_boundary_acknowledged=0/14; row_errors=0; ready_for_downstream_evidence=false.,"NIST AI Risk Management Framework; OECD AI Principles, updated 2024; CISA Secure by Design","Without explicit owner approvals, the product can accidentally convert templates, local checks, or unreviewed rows into buyer-facing claims.","Owner reviews every required approval row, acknowledges claim boundaries, approves or rejects downstream evidence execution, and reruns the owner approval register validator before downstream gates.",Owner approval validation reports all required approvals ready for downstream evidence and zero row errors.,true,false,approval-gated proof only
prediction_accuracy_without_resolved_outcomes,P0,open_owner_evidence_required,prediction_science,"The product can describe forecasting mechanics, but it cannot claim accurate or world-class predictions without real resolved forecast rows, comparable baselines, leakage review, and scoring review.",forecast_evaluation_execution_ready_for_owner_export_no_real_outcomes; valid_resolved_forecasts=0; valid_baselines=0; scoring_chain_ready=false; leakage_real_rows=false; scoring_sample_only=true.,IARPA ACE forecasting program; Metaculus track record and calibration evidence; ForecastBench dynamic forecasting benchmark; Metaculus FutureEval; Good Judgment professional forecasting services,"Strategic buyers will reject prediction-superiority claims unless the track record is scored, calibrated, and benchmarked.","Run the resolved-forecast export, validate baselines, complete leakage review, compare Brier/log-loss/calibration metrics, and keep claims at mechanics-only until the gate passes.",Forecast execution readiness reports real resolved outcomes and baselines; leakage and scoring validators allow accuracy claims.,true,false,mechanics-only forecasting language allowed
buyer_validation_without_completed_calls,P0,open_owner_evidence_required,sellability,"Market research identifies plausible buyer pain, but willingness-to-pay is still unproven without completed discovery calls, qualified follow-ups, paid pilots, LOIs, or procurement signals.",buyer_validation_execution_ready_no_real_calls; completed_calls=0; qualified_followups=0; paid_loi_procurement=0; execution_ready=true.,World Economic Forum Global Risks Report 2026; Dataminr real-time risk intelligence; Palantir AIP,"Without buyer evidence, the strategy is desk-validated rather than sellability-validated.",Execute the 10-call buyer validation slate across the five niches and rerun buyer evidence/proof gates.,Buyer proof gate allows buyer-validated and willingness-to-pay claims.,true,false,buyer-safe pilot claim only
competitive_wedge_without_buyer_substitution_proof,P1,open_owner_evidence_required_protocol_ready,positioning,"The differentiated wedge is plausible, but it has not yet beaten substitutes in buyer conversations or procurement comparison.",competitive_positioning_validation_ready_pilot_only_not_buyer_validated; defensible_wedge=true; substitution_protocol_ready=true; substitution_test_rows=30; substitution_evidence_ready=false; real_substitution_interactions=0; buyer_validated=false; substitute_categories=0/0.,Palantir AIP; Dataminr real-time risk intelligence; Good Judgment professional forecasting services; Metaculus track record and calibration evidence,"Buyers may view the app as a lightweight substitute for Palantir-style decision workflows, Dataminr-style risk alerting, Metaculus/Good Judgment forecasting, or internal analyst workflows.","Execute the buyer substitution test sheet and record current tool, budget owner, replacement barrier, must-have proof, and paid pilot threshold.",Buyer evidence shows the app wins a specific pilot wedge against named substitutes.,true,false,defensible competitive wedge allowed; replacement/parity claims blocked
hosted_proof_blocked_before_browser_smoke,P0,open_runtime_access_required,runtime_readiness,"Local route proof is useful, but hosted-live claims and Browser-verified production behavior remain blocked by hosted access and smoke execution.",hosted_smoke_execution_blocked_project_privileges_owner_unblock_ready; local_route_proof=true; owner_unblock_ready=true; hosted_smoke_ready=false; hosted_proof_complete=false.,CISA Secure by Design; NIST Cybersecurity Framework 2.0,Enterprise buyers and pilot sponsors need proof that the live system works in the actual deployed environment.,"Resolve project visibility/management access, Stripe proof values, and deploy binding, then run hosted Browser/Playwright smoke tests.",Hosted smoke execution readiness and hosted operational proof validators both pass with live evidence.,true,false,local proof only
enterprise_trust_pack_not_approved_or_executed,P0,open_owner_evidence_required,enterprise_trust,"Enterprise/public-sector positioning is attractive, but trust proof is incomplete without procurement documents, RLS execution, hosted access proof, and approved AI action controls.",enterprise_trust_execution_ready_for_owner_review_no_approved_docs; procurement_docs=0/8; rls_rows=0/54; local_llm_red_team=true; hosted_access=false.,"NIST AI Risk Management Framework; NIST AI 600-1 Generative AI Profile; OECD AI Principles, updated 2024; OWASP Top 10 for Large Language Model Applications; NIST Cybersecurity Framework 2.0; CISA Secure by Design","Procurement teams will treat the product as an interesting pilot, not enterprise-ready infrastructure.","Approve trust documents, run RLS proof cases, finish hosted security proof, and keep high-impact AI actions under human review.",Enterprise trust execution readiness allows enterprise/public-sector trust claims.,true,false,enterprise pilot language only
llm_governance_local_only,P1,open_runtime_evidence_gap,ai_governance,Local LLM red-team and policy artifacts are not enough for hosted AI governance claims.,claim_consistency_ready=true; enterprise_proof_ready=false; hosted_proof_complete=false; local_llm_red_team=true.,"NIST AI 600-1 Generative AI Profile; OWASP Top 10 for Large Language Model Applications; OECD AI Principles, updated 2024","AI governance buyers will ask whether prompt/tool risks are controlled in the deployed product, not only in local fixtures.","Run hosted LLM security smoke checks and keep refusal, provenance, tool/action, and human-review gates documented.",Hosted LLM/security evidence is present and claim consistency remains clean.,true,false,local red-team proof only
broad_worldwide_sector_claim_too_large,P1,contained_by_claim_gate,market_scope,The original worldwide/world-class ambition is too broad for the current evidence; the sellable scope should stay focused on five pilot niches.,top_five_niches_ready=true; launch_decision=pilot-only; confidence=53.7; unsupported_claims=0.,World Economic Forum Global Risks Report 2026; Palantir AIP; Dataminr real-time risk intelligence,Over-broad claims weaken credibility versus mature enterprise intelligence and forecasting vendors.,Use the five-niche pilot narrative and prohibit world-class/accurate-prediction copy until evidence gates pass.,95 percent confidence and goal-completion audit pass with no unsupported claims.,false,true,pilot-only positioning
sample_fixture_score_risk,P1,open_evaluation_gap,evaluation_integrity,"Sample fixture scoring can prove validator mechanics, but it cannot prove predictive accuracy.",forecast_scoring_evidence_validation_sample_only_not_claim_proof; sample_fixture_only=true; valid_resolved_forecasts=0; valid_baselines=0.,IARPA ACE forecasting program; Metaculus track record and calibration evidence; ForecastBench dynamic forecasting benchmark; Metaculus FutureEval,A technically sophisticated buyer will distinguish fixture correctness from real forecasting skill.,Use sample fixtures only for harness checks; require real resolved events before score claims.,Scoring validation uses real rows and benchmark comparisons.,true,false,fixture proof is not accuracy proof
claim_consistency_is_clean_but_fragile,P2,contained_by_claim_gate,claims,"The claim surface is currently clean, but every generated artifact or landing copy change can reintroduce unsupported world-class, hosted-live, buyer-validated, or accuracy claims.",claim_consistency_validation_passed_pilot_only_boundaries; scanned_files=153; high_risk_mentions=0; unsupported=0.,"NIST AI Risk Management Framework; OECD AI Principles, updated 2024",Clean language protects credibility while evidence is still pilot-only.,"Rerun claim consistency after every launch-readiness, pricing, landing, or outreach language change.",Claim consistency remains clean after final buyer-facing copy is generated.,false,true,safe if validator keeps passing
