smoke_id,claim_checked,npm_script,command,script_path,script_exists,run_status,hosted_url,deploy_id_or_commit,run_timestamp,operator,log_path,screenshot_path,console_errors,network_errors,failure_class,redaction_verified,buyer_claim_allowed,notes
hosted_access_preflight,Hosted Supabase and function-management access is observable for proof capture.,diag:hosted:access,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run diag:hosted:access,scripts/hosted-access-preflight.sh,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_function_drift,Hosted edge-function surface matches the repo-backed launch surface.,diag:functions:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run diag:functions:hosted,scripts/hosted-function-drift.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_auth_and_entitlements,"Hosted auth, entitlement tables, and webhook rejection behavior are proof-captured.",diag:auth:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run diag:auth:hosted,scripts/hosted-auth-diagnostics.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_schema_preflight,Hosted database schema contains the tables required by the premium workflow.,smoke:schema:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run smoke:schema:hosted,scripts/hosted-schema-preflight.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_strategist_console,"Hosted strategist route can produce governed, evidence-aware analysis with provider diagnostics.",smoke:strategist:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run smoke:strategist:hosted,scripts/hosted-strategist-smoke.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_researcher_advanced,Hosted researcher workflow can run advanced frameworks with hydrator/export/notebook proof.,smoke:researcher:advanced:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run smoke:researcher:advanced:hosted,scripts/hosted-researcher-advanced-smoke.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_insights_gdelt,Hosted geopolitical radar can use non-simulated GDELT/provider diagnostics.,smoke:insights:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run smoke:insights:hosted,scripts/hosted-insights-smoke.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_warroom_collaboration,"Hosted war-room collaboration can create and verify decision, assumption, scenario, and comment rows.",smoke:warroom:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run smoke:warroom:hosted,scripts/hosted-warroom-smoke.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_classroom_training,Hosted classroom/training lane can create instructor/student flow and assignment evidence.,smoke:classroom:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run smoke:classroom:hosted,scripts/hosted-classroom-smoke.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_payment_and_pricing,"Hosted pricing, Stripe webhook, and entitlement proof are captured without live payment mutation.",proof:stripe:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run proof:stripe:hosted,scripts/hosted-stripe-proof.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_retrieval_and_evidence,Hosted evidence retrieval grows retrieval artifacts and avoids low-source fallback.,smoke:retrieval:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run smoke:retrieval:hosted,scripts/retrieval-provider-smoke.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
hosted_analyze_evidence_canaries,Hosted analyze-engine produces evidence-backed analysis across geopolitical and commodity canaries.,smoke:analyze:evidence:hosted,PATH=$HOME/.nvm/versions/node/v20.19.5/bin:$PATH npm run smoke:analyze:evidence:hosted,scripts/analyze-engine-evidence-smoke.mjs,yes,not_run,,,,,,,,,,no,no,Fill after owner-approved hosted smoke. Do not paste secrets.
