gate,status,proof_bucket,evidence,next_action
pilot_offer_contract_ready,passed,repo_artifact,status=pilot_offer_pack_ready_not_buyer_proof; allowed_claims=4; prohibited_claims=5; success_criteria=4.,Use this as the offer contract for owner review.
top_five_niche_package_coverage,passed,repo_artifact,5/5 niche rows present; missing=none; proof_rows=5; boundary_rows=5.,Keep the five-niche offer sequence fixed until buyer evidence changes it.
proof_packet_files_exist,passed,repo_artifact,7/7 proof-packet files exist.,Attach this packet only as repo/local proof.
local_route_baseline_ready,passed,local,local_route_proof_ready_not_hosted_proof; routes=7; runtime_errors=0; hosted_live_proof=false.,Use as local route baseline only.
buyer_execution_slate_ready,passed,repo_artifact,execution_ready=true; selected_targets=10; selected_top_five=5/5; missing=none.,Owner can approve or edit the call slate.
pilot_outcome_measurement_ready,passed_not_outcome_proof,repo_artifact,pilot_outcome_measurement_kit_ready_not_outcome_proof; outcome_measurement_ready=true; outcome_proof_claimed=false; top_five=5/5; forbidden_claims=0.,Attach the outcome measurement kit before owner-approved buyer calls.
substitution_protocol_ready,passed_not_buyer_proof,repo_artifact,buyer_substitution_evidence_validation_ready_no_real_calls; real_interactions=0; ready_for_buyer_proof_gate=false.,Execute owner-approved substitution calls before replacement or parity claims.
source_freshness_ready,passed_with_access_limits,repo_artifact,external_source_freshness_completed_with_access_limits; checked=52/52; access_limited=8; broken=0.,Use source freshness as desk-research proof only.
claim_consistency_ready,passed,repo_artifact,claim_consistency_validation_passed_pilot_only_boundaries; unsupported=0.,Rerun after any buyer-facing package language change.
owner_approval_gate,blocked_owner_approval_missing,owner_input,owner_approval_register_ready_no_owner_approvals; owner_approved=0/14; ready_for_downstream_evidence=false.,Owner reviews approval rows before external sharing or downstream proof execution.
buyer_and_hosted_proof_absent,blocked_no_upgrade,owner_input_and_hosted_live,buyer_validated=false; hosted_proof_complete=false; hosted_status=hosted_smoke_execution_blocked_project_privileges_owner_unblock_ready.,Do not upgrade beyond owner-review pilot package until buyer and hosted proof pass.
claim_upgrade_guardrail,passed_blocking_upgrades,repo_artifact,commercial_ready=false; world_class_prediction=false; hosted_live=false; buyer_validated=false; enterprise_ready=false.,"Keep package language pilot-only until owner, buyer, hosted, enterprise, and prediction gates pass."
