sequence_rank,account_name,website,buyer_role,niche,recommended_segment,first_touch_template_id,proof_to_show,outreach_angle,status,next_action,claim_boundary
1,GAO Center for Strategic Foresight,https://www.gao.gov/about/what-gao-does/audit-role/csf/,Strategic foresight director or federal program-analysis lead,Enterprise/public-sector strategic decision intelligence,"Corporate strategy, geopolitical risk, and CEO-office teams at global companies",public-sector-foresight,Console to strategist brief to human-review and forecast-draft handoff.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md,Ask whether evidence-to-decision workflow maps to their real planning process.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
2,UK Government Office for Science Futures and Foresight,https://www.gov.uk/government/groups/futures-and-foresight,"Futures, foresight, or horizon-scanning team lead",Enterprise/public-sector strategic decision intelligence,"Corporate strategy, geopolitical risk, and CEO-office teams at global companies",public-sector-foresight,Actor/countermove brief plus review state and forecast-governance caveats.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md,Ask whether evidence-to-decision workflow maps to their real planning process.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
3,OECD Strategic Foresight Unit / Government Foresight Community,https://www.oecd.org/strategic-foresight/,Strategic foresight unit lead or GFC program contact,Enterprise/public-sector strategic decision intelligence,"Corporate strategy, geopolitical risk, and CEO-office teams at global companies",public-sector-foresight,Public-sector scenario brief with transparent uncertainty and policy trade-off questions.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md,Ask whether evidence-to-decision workflow maps to their real planning process.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
4,Policy Horizons Canada,https://horizons.service.canada.ca/en/home/index.shtml,Foresight analyst or policy innovation lead,Enterprise/public-sector strategic decision intelligence,"Corporate strategy, geopolitical risk, and CEO-office teams at global companies",public-sector-foresight,Evidence bundle and audience-specific briefing for a policy uncertainty.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md,Ask whether evidence-to-decision workflow maps to their real planning process.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
5,Atlantic Council GeoStrategy Initiative,https://www.atlanticcouncil.org/our-programs/foresight-strategy-and-risks-initiative/,"Foresight, strategy, or program lead",Executive and analyst briefing layer,"Think tanks, geopolitical research institutes, and analyst programs",corporate-strategy-risk,Analyst briefing layer plus forecast-draft governance for a Global Foresight scenario.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md,Ask whether analyst review and reusable executive brief artifacts reduce briefing friction.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
6,CSIS Futures Lab,https://www.csis.org/programs/futures-lab?f%5B0%5D=topics%3A845,Futures Lab or computational social science lead,Executive and analyst briefing layer,"Think tanks, geopolitical research institutes, and analyst programs",corporate-strategy-risk,Game-tree or countermove reasoning path with analyst review and forecast handoff.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md,Ask whether analyst review and reusable executive brief artifacts reduce briefing friction.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
7,World Economic Forum Strategic Intelligence,https://www.weforum.org/focus/strategic-intelligence/,Strategic Intelligence partnerships or content lead,Enterprise/public-sector strategic decision intelligence,"Corporate strategy, geopolitical risk, and CEO-office teams at global companies",public-sector-foresight,"Differentiated layer: evidence-to-actor-reasoning-to-forecast draft, not trend-map replacement.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md",Ask whether evidence-to-decision workflow maps to their real planning process.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
8,World Economic Forum Global Risks Initiative,https://initiatives.weforum.org/global-risks/home,"Global risks program, community, or report team",Geopolitical risk radar and scenario monitor,Corporate treasury and finance risk teams,treasury-finance-risk,"Global-risk issue brief with source provenance, actor map, and forecast-draft scoring plan.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md",Ask whether they need a faster path from external risk trigger to decision-ready scenario.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
9,Metaculus FutureEval,https://www.metaculus.com/futureeval/,Forecasting evaluation or services lead,Governed forecasting and research workflow,"Forecasting research, AI evaluation, and model-risk teams",forecasting-evaluation,"Calibration ledger plus benchmark-comparison artifact, clearly marked sample-only until real data exists.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md",Ask for critique of the forecast-governance protocol before any accuracy claim is made.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
10,Michigan Ross Executive Education strategic decision-making program,https://michiganross.umich.edu/sites/default/files/media/documents/2025/07/Michigan%20Ross%20Strategic%20Decision%20Making_07142025.pdf,Executive education program director or corporate learning lead,Negotiation and strategic reasoning training,Executive education and corporate learning programs,executive-education,Negotiation Dojo and game-tree module with manager-ready debriefs.; commercial-confidence-gate-2026-06-06.md; commercial-launch-readiness-2026-06-06.md,Ask whether a structured reasoning exercise with measurable debriefs fits their program.,researched_not_contacted_prelaunch,"Review for conflicts/sensitivity, then send founder-led relevance-check message.","No buyer-validation, hosted-live, enterprise-ready, or accuracy claim until post-contact evidence is logged and validators pass."
